Vehicle_ID,Cust_ID,Start_Date,Return_Date,No_of_Weeks,Daily_rate,Weekly_Rate,No_of_days,Scheduled,Amount_Due
1001,11,2023-04-01,2023-04-08,1,100,200,7,0,200
1002,22,2023-04-02,2023-04-09,1,110,220,7,0,220
1003,33,2023-04-03,2023-04-10,1,120,240,7,0,240
1004,44,2023-04-04,2023-04-11,1,130,260,7,0,260
1005,55,2023-04-05,2023-04-12,1,140,280,7,0,280
1006,66,2023-04-06,2023-04-13,1,150,300,7,0,300
1007,77,2023-04-07,2023-04-14,1,160,320,7,0,320
1008,88,2023-04-08,2023-04-15,1,170,340,7,0,340
1009,99,2023-04-09,2023-04-16,1,180,360,7,0,360
1010,100,2023-04-10,2023-04-17,1,190,380,7,0,380